14,1990,Nissan,Skyline,26,2,0,8,8,0,2
134,2013,Subaru,WRX,52,2,2,12,16,2,2
120,2014,Ford,Focus st,30,2,0,6,12,2,2
114,2010,Volkswagen,Gti,26,0,0,8,12,0,2
11,1991,Nissan,Skyline,30,2,0,2,18,2,2
108,2013,Audi,S4,14,2,0,2,6,2,2
104,2014,Honda,Civic si,48,2,4,6,18,4,2
102,2015,Honda,Accord,10,0,0,4,6,0,2
10,2001,Nissan,S15,34,2,0,8,16,2,2
Vip,2008,Volkswagen,Gli,16,2,2,4,0,2,0
95,2004,Infiniti,G35,12,0,0,6,6,0,0
93,2005,Acura,TL,22,2,2,6,10,2,0
92,2017,Hyundai,Elantra sport,30,0,2,14,8,0,0
86,1996,Volkswagen,Jetta,8,0,4,2,2,0,0
81,2016,Volkswagen,GTI,24,2,0,12,6,2,0
78,2015,Mazda,6,36,2,2,14,12,2,0
76,2005,Subaru,Sti,12,2,0,0,4,2,0
75,2012,Subaru,WRX,6,0,0,2,2,0,0
72,2016,Honda,Civic si,4,0,0,0,4,0,0
71,2008,Acura,TL,6,0,0,4,2,0,0
70,2014,Honda,Civic,0,0,0,0,0,0,0
69,2018,Subaru,WRX,8,0,0,6,2,0,0
66,2010,Volkswagen,Gti,4,0,0,0,2,0,0
64,2004,Subaru,Forester,6,0,0,0,6,0,0
59,2012,Volkswagen,Golf,28,2,2,6,8,2,0
46,2008,Volkswagen,R32,32,0,2,6,14,2,0
42,2001,Dodge,Viper,8,0,0,2,2,2,0
40,2007,Subaru,Legacy,6,0,0,0,6,0,0
4,2007,Honda,Civic,14,0,0,0,12,0,0
38,2017,Hyundai,Elantra sport,62,2,4,14,22,4,0
34,2010,Honda,Fit,18,0,0,8,8,2,0
28,1995,Bmw,318xi,8,0,0,4,4,0,0
243,2008,Toyota,Matrix,10,0,0,4,6,0,0
237,1987,Volkswagen,Jetta,10,0,0,4,0,0,0
232,2018,Subaru,WRX,46,2,2,12,18,4,0
226,2008,Honda,Accord,18,0,0,6,12,0,0
219,2016,Ford,Focus rs,26,2,2,8,4,2,0
212,2001,Lexus,Is300,6,0,0,2,4,0,0
211,2004,Acura,Tsx,48,0,2,16,18,2,0
207,1993,Honda,Civic eG,40,2,4,10,14,2,0
197,2010,Audi,A4,2,0,0,0,2,0,0
190,1995,Lexus,Sc300,10,0,0,6,4,0,0
186,2012,Volkswagen,Gli,14,0,0,2,4,6,0
185,2013,Volkswagen,Jett,8,0,0,4,4,0,0
184,2010,Volkswagen,Cc,8,0,0,2,2,0,0
174,2006,Acura,Rsx,4,0,0,0,2,0,0
172,2014,Bmw,4,22,0,0,4,2,6,0
16,2008,Nissan,350z,10,0,0,4,2,0,0
159,2013,Hyundai,Gen coupe,14,0,0,6,4,0,0
140,1995,Mitsu,Evo8,44,2,2,10,14,2,0
138,1990,Mazda,Miata,10,0,2,0,6,0,0
137,2017,Ford,Focus rs,54,4,4,12,16,2,0
130,2016,Honda,Civic si,24,0,2,2,16,0,0
101,2014,Honda,Civic,0,0,0,0,0,0,0
100,2006,Volvo,S60r,22,2,0,6,2,0,0
1,2012,Subaru,WRX,6,2,0,0,2,2,0
0,2015,Chevy,Camaro,0,0,0,0,0,0,0
