Volvo                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
3                 , 2007              , Honda             , Fit               , 31                , 102               , 14                ,24                , 24                , 30                , 6                 , 4                 , 9                  

Toyota               
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 1993              , Toyota            , Supra             , 142               , 58                , 4                 ,8                 , 10                , 26                , 6                 , 4                 , 43                 
2                 , 2011              , Toyota            , Camry             , 110               , 58                , 0                 ,12                , 24                , 18                , 4                 , 0                 , 44                 
3                 , 2011              , Toyota            , 4 Runner          , 43                , 54                , 2                 ,12                , 16                , 16                , 4                 , 4                 , 47                 

Bmw                  
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2016              , Bmw               , M2                , 2                 , 24                , 2                 ,2                 , 6                 , 12                , 2                 , 0                 , 107                
2                 , 2014              , Bmw               , 4                 , 172               , 22                , 4                 ,6                 , 4                 , 2                 , 0                 , 6                 , 116                
3                 , 2007              , Bmw               , 328i              , 111               , 10                , 4                 ,0                 , 2                 , 0                 , 4                 , 0                 , 139                

Chrystler            
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2007              , Chrystler         , 300               , 216               , 96                , 16                ,20                , 20                , 32                , 4                 , 4                 , 11                 

