Total Car_ID Year Make Model Ranking
24 114 2010 Volkswagen Gti 94
62 41 2012 Acura Tsx 95
24 116 2008 Audi A4 96
54 137 2017 Ford Focus rs 97
6 212 2001 Lexus Is300 98
46 52 2007 Mazda Speed 3 99
22 93 2005 Acura TL 100
18 226 2008 Honda Accord 101
22 22 2007 Honda Civic 102
0 70 2014 Honda Civic 103
122 128 2010 Infiniti G37 104
6 40 2007 Subaru Legacy 105
26 238 1982 Volkswagen Rabbit 106
96 31 2007 Honda Fit 107
6 71 2008 Acura TL 108
36 18 2015 Audi S3 109
62 38 2017 Hyundai Elantra sport 110
32 46 2008 Volkswagen R32 111
38 49 1997 Acura Integra 112
8 28 1995 Bmw 318xi 113
26 219 2016 Ford Focus rs 114
8 185 2013 Volkswagen Jett 115
34 162 2014 Nissan 370z 116
78 180 2011 Volkswagen Gti 117
68 103 2010 Acura Tsx 118
2 197 2010 Audi A4 119
6 74 2015 Honda Accord 120
20 150 2006 Nissan 350z 121
36 78 2015 Mazda 6 122
24 141 1993 Mazda Miata 123
32 17 2016 Mercedes C43 124
24 187 2007 Subaru Legacy 125
8 69 2018 Subaru WRX 126
22 100 2006 Volvo S60r 127
104 112 2008 Acura TL 128
22 172 2014 Bmw 4 129
96 91 2010 Mitsu Lancer 130
58 158 2007 Nissan 350z 131
18 182 2012 Volkswagen Cc 132
48 225 2016 Acura TLX 133
24 81 2016 Volkswagen GTI 134
50 6 2016 Volkswagen Golf r 135
40 121 2012 Acura TL 136
48 211 2004 Acura Tsx 137
14 186 2012 Volkswagen Gli 138
14 4 2007 Honda Civic 139
4 72 2016 Honda Civic si 140
40 45 2006 Acura TL 141
62 1051 2006 Acura Tsx 142
68 84 2012 Mercedes Cl63amg 143
40 118 1993 Honda Civic 144
4 174 2006 Acura Rsx 145
10 138 1990 Mazda Miata 146
24 242 2014 Nissan Maxima 147
80 3 2011 Nissan 370 148
12 193 2014 Nissan Ssntra 149
8 94 2004 Volkswagen Gti 150
28 11 1991 Nissan Skyline 151
8 86 1996 Volkswagen Jetta 152
40 9 1996 Nissan 240 153
52 142 1993 Toyota Supra 154
86 126 2010 Volkswagen Eos 155
26 144 2016 Volkswagen Gti 156
54 110 2011 Toyota Camry 157
18 34 2010 Honda Fit 158
10 190 1995 Lexus Sc300 159
18 235 2013 Scion Frs 160
30 24 2013 Subaru BRZ 161
6 64 2004 Subaru Forester 162
40 122 2011 Infiniti M37s 163
74 106 2007 Acura Tl type s 164
110 113 2012 Acura Tsx sportwagon 165
86 13 2016 Honda Civic 1.5t 166
10 237 1987 Volkswagen Jetta 167
